Vrsta izbora;Naziv županije;Naziv grada/općine;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;VILJEVO;MILORAD MALJKOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;OSJEČKO-BARANJSKA ŽUPANIJA;JAGODNJAK;ANA MRĐA;;ANA MRĐA - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;OSJEČKO-BARANJSKA ŽUPANIJA;JAGODNJAK;DENIS URTAJL;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;OSJEČKO-BARANJSKA ŽUPANIJA;ŠODOLOVCI;KSENIJA KATIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;OSJEČKO-BARANJSKA ŽUPANIJA;ŠODOLOVCI;ALEN LORDAN;;DEMOKRATSKI HSS - DHSS
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;ŠIBENSKO-KNINSKA ŽUPANIJA;CIVLJANE;NATALI GUTIĆ;;NATALI GUTIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;ŠIBENSKO-KNINSKA ŽUPANIJA;KISTANJE;ROKO ANTIĆ;;ROKO ANTIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;ŠIBENSKO-KNINSKA ŽUPANIJA;KISTANJE;PAŠKO IVANOVIĆ;;PAŠKO IVANOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;ŠIBENSKO-KNINSKA ŽUPANIJA;KNIN;ŽELJKO DŽEPINA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;ŠIBENSKO-KNINSKA ŽUPANIJA;SKRADIN;ŽELJKO BAJALICA;;ŽELJKO BAJALICA - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;ŠIBENSKO-KNINSKA ŽUPANIJA;SKRADIN;NIKOLA MILOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - RUSINSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;BOGDANOVCI;JOAKIM ERDELJI;;JOAKIM ERDELJI - KANDIDAT GRUPE BIRAČA
