naziv	zupnija	mjesto	adresa	ravnatelj	web	ravnatelj_spol
OSNOVNA ŠKOLA SLANO	Dubrovačko-neretvanska županija	Slano	TRG RUĐERA BOŠKOVIĆA 17	Ante  Konjuh	http://os-slano.skole.hr/	m
OSNOVNA ŠKOLA PRIMORJE	Dubrovačko-neretvanska županija	Smokovljani	Smokovljani, Rudine 1	Zlatko  Volarević	www.os-primorje-smokovljani.hr	m
II. OSNOVNA  ŠKOLA ČAKOVEC	Međimurska županija	Čakovec	Trg pape Ivana Pavla II.1	Vinko  Grgić	NA	m
OSNOVNA ŠKOLA GORIČAN	Međimurska županija	Goričan	ŠKOLSKA 16	Zlatko  Varošanec	NA	m
OSNOVNA ŠKOLA MURSKO SREDIŠĆE	Međimurska županija	Mursko Središće	VLADIMIRA NAZORA 22	Elvis  Šarić	NA	m
OSNOVNA ŠKOLA NEDELIŠĆE	Međimurska županija	Nedelišće	TRG REPUBLIKE 9	Ivica  Paić	http://os-nedelisce.skole.hr/	m
OSNOVNA ŠKOLA DRAŠKOVEC	Međimurska županija	Prelog	Draškovićeva 47, Draškovec	Margit  Mirić	www.os-draskovec.skole.hr	z
OSNOVNA ŠKOLA RETKOVEC	Grad Zagreb županija	Zagreb	Aleja javora 2	Jako  Šuker	NA	m
Osnovna škola dr. Ante Starčevića	Grad Zagreb županija	Zagreb	Svetog Leopolda Mandića 55	Nikica  Mihaljević	NA	m
OSNOVNA ŠKOLA MARIJE JURIĆ ZAGORKE	Grad Zagreb županija	Zagreb	Štefanovečka c. 67	Željko  Kelava	www.os-mjzagorke-zg.skole.hr	m
Osnovna škola Vladimira Nazora	Grad Zagreb županija	Zagreb	JORDANOVAC 23	Ivica  Brkić	http://os-vnazora-zg.skole.hr/	m
OSNOVNA ŠKOLA JORDANOVAC	Grad Zagreb županija	Zagreb	JORDANOVAC 108	Davor  Krnjeta	http://os-jordanovac-zg.skole.hr/	m
OSNOVNA ŠKOLA DR. IVAN MERZ	Grad Zagreb županija	Zagreb	RAČKOGA 4	Jurica  Šperanda	www.os-ivan-merz.hr	m
Osnovna škola Petra Preradovića	Grad Zagreb županija	Zagreb	ZAPOLJSKA 32	Denis  Žvorc	http://www.os-ppreradovica-zg.skole.hr/	m
OSNOVNA ŠKOLA VUKOMEREC	Grad Zagreb županija	Zagreb	POREČKA 9	Zdravko  Dominik	http://os-vukomerec-zg.skole.hr/	m
Osnovna škola Savski Gaj	Grad Zagreb županija	Zagreb	Remetinečka cesta 64A	Matija  Bajić	NA	m
Osnovna škola Sesvetski Kraljevec	Grad Zagreb županija	Sesvetski Kraljevec	Školska 10	Ivica  Vlašić	http://www.os-sesvetski-kraljevec.skole.hr/	nepoznato
CENTAR ZA ODGOJ  I OBRAZOVANJE GOLJAK	Grad Zagreb županija	Zagreb	GOLJAK 2	Željko  Kranjec	www.coogoljak.hr	m
Centar za odgoj i obrazovanje Tuškanac- Zagreb	Grad Zagreb županija	Zagreb	Gornje Prekrižje 48	Meri  Gatin	NA	z
Katolička osnovna škola u Požegi	Požeško-slavonska županija	Požega	Ulica pape Ivana Pavla II.  6	Frano  Barišić	os-katolicka-pz.skole.hr	m
Osnovna škola "Meterize"	Šibensko-kninska županija	Šibenik	Put kroz Meterize 48	Margit  Vrbičić	NA	z
